id,genus,name_german,name_original,treetop_diam,tree_height,year_of_planting,license,credits
"2564819",Quercus,Stiel-Eiche,Quercus robur,"8","10","1990",GeoNutzV,Land Berlin
"2564820",Quercus,Stiel-Eiche,Quercus robur,"4","5","1990",GeoNutzV,Land Berlin
"2564821",Quercus,Stiel-Eiche,Quercus robur,"6","5","1995",GeoNutzV,Land Berlin
"2564822",Quercus,Stiel-Eiche,Quercus robur,"8","10","1990",GeoNutzV,Land Berlin
"2564823",Quercus,Stiel-Eiche,Quercus robur,"6","9","1990",GeoNutzV,Land Berlin
"2564824",Quercus,Stiel-Eiche,Quercus robur,"5","8","1995",GeoNutzV,Land Berlin
"2564971",Quercus,Stiel-Eiche,Quercus robur,"10","15",,GeoNutzV,Land Berlin
"2564972",Quercus,Stiel-Eiche,Quercus robur,"7","8",,GeoNutzV,Land Berlin
"2595899",Salix,,Salix spec.,"3","12",,GeoNutzV,Land Berlin
"2565106",Acer,Spitz-Ahorn,Acer platanoides,"4","8",,GeoNutzV,Land Berlin
"2595900",Salix,,Salix spec.,"3","12",,GeoNutzV,Land Berlin
"2565277",Salix,,Salix spec.,"5","6",,GeoNutzV,Land Berlin
