id,genus,name_german,name_original,treetop_diam,tree_height,year_of_planting,license,credits
"3244148",Robinia,Gewöhnliche Scheinakazie,Robinia pseudoacacia,"5","17","1993",Deutschland Namensnennung 2.0,Land Berlin
"3244172",Populus,Zitter-Pappel,Populus tremula,"4","15","1995",Deutschland Namensnennung 2.0,Land Berlin
"3244193",Acer,Spitz-Ahorn,Acer platanoides,"6","12","1997",Deutschland Namensnennung 2.0,Land Berlin
"3244195",Robinia,Gewöhnliche Scheinakazie,Robinia pseudoacacia,"5","12.5","2008",Deutschland Namensnennung 2.0,Land Berlin
"3244207",Betula,,Betula pendula,"8","20","1930",Deutschland Namensnennung 2.0,Land Berlin
"3244228",Acer,Berg-Ahorn,Acer pseudoplatanus,"4","12","2001",Deutschland Namensnennung 2.0,Land Berlin
"3244231",Acer,Spitz-Ahorn,Acer platanoides,"10","25","1924",Deutschland Namensnennung 2.0,Land Berlin
"3244237",Corylus,Baum-Hasel,Corylus colurna,"5","12","1982",Deutschland Namensnennung 2.0,Land Berlin
"3244242",Quercus,,Platanus acerifolia,"2","8","2011",Deutschland Namensnennung 2.0,Land Berlin
"3244247",Magnolia,Kobushi-Magnolie,Magnolia kobus,"1.5","7","2011",Deutschland Namensnennung 2.0,Land Berlin
"3244280",Populus,,Populus x canadensis Hybride,"10","30","1976",Deutschland Namensnennung 2.0,Land Berlin
"3244281",Populus,,Populus x canadensis Hybride,"10","30","1976",Deutschland Namensnennung 2.0,Land Berlin
"3244316",Robinia,Gewöhnliche Scheinakazie,Robinia pseudoacacia,"3","20","2003",Deutschland Namensnennung 2.0,Land Berlin
"3244321",Acer,Eschen-Ahorn,Acer negundo,"4.5","5","1997",Deutschland Namensnennung 2.0,Land Berlin
"3244337",Acer,Berg-Ahorn,Acer pseudoplatanus,"5","7","1991",Deutschland Namensnennung 2.0,Land Berlin
"3244345",Prunus,,Prunus spec.,"1","3","2014",Deutschland Namensnennung 2.0,Land Berlin
"3244348",Salix,Trauer-Weide,Salix babylonica,"1","3","1982",Deutschland Namensnennung 2.0,Land Berlin
"3244355",Acer,Berg-Ahorn,Acer pseudoplatanus,"8","17","1982",Deutschland Namensnennung 2.0,Land Berlin
"3244363",Quercus,Rot-Eiche,Quercus rubra,"6","15","1965",Deutschland Namensnennung 2.0,Land Berlin
"3244364",Tilia,Sommer-Linde,Tilia platyphyllos,"6","25","1965",Deutschland Namensnennung 2.0,Land Berlin
"3244365",Quercus,,Platanus acerifolia,"3","7.5","2007",Deutschland Namensnennung 2.0,Land Berlin
"3244368",Pyrus,,Pyrus communis,"1","7","2014",Deutschland Namensnennung 2.0,Land Berlin
"3244373",Acer,Berg-Ahorn,Acer pseudoplatanus,"5","13.5","1965",Deutschland Namensnennung 2.0,Land Berlin
"3244392",Acer,Spitz-Ahorn,Acer platanoides,"3.5","15","1991",Deutschland Namensnennung 2.0,Land Berlin
"3244393",Acer,Berg-Ahorn,Acer pseudoplatanus,"3.5","12","2004",Deutschland Namensnennung 2.0,Land Berlin
"3244402",Tilia,Winter-Linde,Tilia cordata,"6.5","12","1965",Deutschland Namensnennung 2.0,Land Berlin
"3244405",Tilia,Winter-Linde,Tilia cordata,"4","7","1965",Deutschland Namensnennung 2.0,Land Berlin
"3244419",Magnolia,Kobushi-Magnolie,Magnolia kobus,"1","3","2012",Deutschland Namensnennung 2.0,Land Berlin
"3244432",Acer,Eschen-Ahorn,Acer negundo,"12","20","1970",Deutschland Namensnennung 2.0,Land Berlin
"3244446",Acer,Spitz-Ahorn,Acer platanoides,"4","12","2001",Deutschland Namensnennung 2.0,Land Berlin
